@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,N Oxidised,"Nitrogen, Total Oxidised as N",0116,"",3.9,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,Sld Sus@105C,"Solids, Suspended at 105 C",0135,"",20,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3420301-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-04-28T14:15:00,Orthophospht,"Orthophosphate, reactive as P",0180,"",0.11,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3420301-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-04-28T14:15:00,N Oxidised,"Nitrogen, Total Oxidised as N",0116,"",5.2,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3420301-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-04-28T14:15:00,Sld Sus@105C,"Solids, Suspended at 105 C",0135,"",8.8,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3420301-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-04-28T14:15:00,Nitrate-N,Nitrate as N,0117,"",5.13,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3420301-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-04-28T14:15:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,"",13.1,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3420301-6396,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-04-28T14:15:00,TurbidityNTU,Turbidity,6396,"",3.9,"",ntu,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3420301-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-04-28T14:15:00,Temp Water,Temperature of Water,0076,"",12.7,"",cel,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3420301-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-04-28T14:15:00,Nitrite-N,Nitrite as N,0118,"",0.067,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3420301-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-04-28T14:15:00,Cond @ 25C,Conductivity at 25 C,0077,"",671,"",us/cm,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3420301-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-04-28T14:15:00,NH3 un-ion,Ammonia un-ionised as N,0119,<,0.00067,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3420301-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-04-28T14:15:00,pH,pH,0061,"",8.61,"",phunits,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3420301-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-04-28T14:15:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,"",124.1,"",%,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3420301-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-04-28T14:15:00,Ammonia(N),Ammoniacal Nitrogen as N,0111,<,0.03,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3421949-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-05-19T14:20:00,Cond @ 25C,Conductivity at 25 C,0077,"",504,"",us/cm,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3421949-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2021-05-19T14:20:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,"",8.71,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
